,Topic,Word,P
0,0,pemkab_sleman,0.012105811
1,0,raja,0.012011333
2,0,kabupaten_sleman,0.008288342
3,0,kepala_dinas,0.006628987
4,0,aktif,0.006228162
5,0,irjen_napoleon,0.0058743367
6,0,capai_persen,0.005519886
7,0,hadiah,0.0050465604
8,0,bupati_sleman,0.004829649
9,0,pakan,0.0046691117
10,1,korban,0.007915012
11,1,vaksinasi,0.0077736643
12,1,sekolah,0.005536775
13,1,ptm,0.005400272
14,1,kulonprogo,0.0047204252
15,1,cepat_vaksinasi,0.0045735007
16,1,laksana_vaksinasi,0.0045213606
17,1,ajar,0.0045180577
18,1,gunungkidul,0.0042953105
19,1,lbh_yogyakarta,0.004208093
20,2,sepeda_motor,0.009452302
21,2,hilang,0.007723691
22,2,mahasiswa,0.0066108922
23,2,juru_bicara,0.0058094487
24,2,as,0.005725774
25,2,pandemi_covid,0.005589138
26,2,gunung_rapi,0.0051927413
27,2,serang,0.0048099533
28,2,indonesia,0.00478419
29,2,pasu,0.004596877
30,3,uji_coba,0.0143810585
31,3,wisata,0.01183054
32,3,objek_wisata,0.01060609
33,3,destinasi_wisata,0.009437831
34,3,protokol_sehat,0.008340918
35,3,terap_protokol,0.0070403246
36,3,anak_anak,0.0070102112
37,3,wisatawan,0.0067028278
38,3,gunung_bintang,0.0065958523
39,3,ppkm_level,0.006362017
